County,ShortName,CD,Clinton,Trump,McMullin,Total,Other,,,,,,,,,,,,,,,,,,,,
Beaver,Beaver,2,264,"1,838",323,"2,491",66,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Box Elder,BoxElder,1,"2,282","12,230","4,257","19,735",966,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Cache,Cache,1,"8,563","21,139","13,695","46,147","2,750",,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Carbon,Carbon,3,"1,717","5,275",615,"7,952",345,,,,,,,,,,,,,,,,,,,,
Daggett,Daggett,1,77,331,44,474,22,,,,,,,,,,,,,,,,,,,,
Duchesne,Duchesne,1,500,"5,508",730,"6,942",204,,,,,,,,,,,,,,,,,,,,
Emery,Emery,3,380,"3,425",362,"4,288",121,,,,,,,,,,,,,,,,,,,,
Garfield,Garfield,2,358,"1,606",286,"2,344",94,,,,,,,,,,,,,,,,,,,,
Grand,Grand,3,"1,960","1,975",281,"4,532",316,,,,,,,,,,,,,,,,,,,,
Iron,Iron,2,"2,450","11,561","2,752","17,654",891,,,,,,,,,,,,,,,,,,,,
Kane,Kane,2,741,"2,265",352,"3,505",147,,,,,,,,,,,,,,,,,,,,
Millard,Millard,2,431,"3,860",719,"5,242",232,,,,,,,,,,,,,,,,,,,,
Morgan,Morgan,1,577,"3,188","1,198","5,192",229,,,,,,,,,,,,,,,,,,,,
Piute,Piute,2,47,626,36,729,20,,,,,,,,,,,,,,,,,,,,
Rich,Rich,1,104,797,174,"1,109",34,,,,,,,,,,,,,,,,,,,,
San Juan,SanJuan,3,"2,042","2,645",486,"5,447",274,,,,,,,,,,,,,,,,,,,,
Sevier,Sevier,2,695,"6,740",916,"8,654",303,,,,,,,,,,,,,,,,,,,,
Summit,Summit,1,"10,503","7,333","1,786","20,641","1,019",,,,,,,,,,,,,,,,,,,,
Tooele,Tooele,2,"4,573","11,169","4,769","21,829","1,318",,,,,,,,,,,,,,,,,,,,
Uintah,Uintah,1,995,"9,810","1,496","12,797",496,,,,,,,,,,,,,,,,,,,,
Wasatch,Wasatch,3,"3,063","6,115","2,315","12,120",627,,,,,,,,,,,,,,,,,,,,
Washington,Washington,2,"10,288","42,650","6,565","61,962","2,459",,,,,,,,,,,,,,,,,,,,
Wayne,Wayne,2,271,966,135,"1,421",49,,,,,,,,,,,,,,,,,,,,
Weber,Weber,1,"23,131","40,235","16,451","85,038","5,221",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis (pt.),Davis,1,"16,001","38,932","22,716","82,367","4,718",,,,,,,,,,,,,,,,,,,,
Davis (pt.),Davis,2,"12,775","23,287","17,019","56,029","2,948",,,,,,,,,,,,,,,,,,,,
Juab (pt.),Juab,2,90,216,38,364,20,,,,,,,,,,,,,,,,,,,,
Juab (pt.),Juab,4,352,"2,611",724,"3,813",126,,,,,,,,,,,,,,,,,,,,
Salt Lake (pt.),SaltLake,2,"57,215","20,092","12,765","95,982","5,910",,,,,,,,,,,,,,,,,,,,
Salt Lake (pt.),SaltLake,3,"34,025","34,030","16,811","89,625","4,759",,,,,,,,,,,,,,,,,,,,
Salt Lake (pt.),SaltLake,4,"84,623","83,921","50,304","233,246","14,398",,,,,,,,,,,,,,,,,,,,
Sanpete (pt.),Sanpete,2,488,"3,649","1,187","5,493",169,,,,,,,,,,,,,,,,,,,,
Sanpete (pt.),Sanpete,4,573,"3,024",851,"4,669",221,,,,,,,,,,,,,,,,,,,,
Utah (pt.),Utah,3,"24,274","83,317","50,063","165,959","8,305",,,,,,,,,,,,,,,,,,,,
Utah (pt.),Utah,4,"4,248","18,865","10,469","35,583","2,001",,,,,,,,,,,,,,,,,,,,