County,CD,Clinton,Trump,Total
Barbour,1,1222,4527,6054
Berkeley,2,12321,28244,42850
Boone,3,1790,6504,8683
Braxton,2,1321,3537,5090
Brooke,1,2568,6625,9613
Cabell,3,11447,19850,33085
Calhoun,2,456,2035,2617
Clay,2,568,2300,2972
Doddridge,1,362,2358,2840
Fayette,3,4290,10357,15337
Gilmer,1,545,1896,2543
Grant,1,512,4346,4956
Greenbrier,3,3765,9556,14066
Hampshire,2,1580,6692,8608
Hancock,1,3262,8909,12702
Hardy,2,1155,4274,5643
Harrison,1,7694,18750,27960
Jackson,2,2663,9020,12187
Jefferson,2,9518,13204,24147
Kanawha,2,28263,43850,75690
Lewis,2,1347,5274,6928
Lincoln,3,1459,5307,7066
Logan,3,2092,9897,12359
Marion,1,6964,14668,23029
Marshall,1,2918,9666,13216
Mason,3,2081,7654,10186
McDowell,3,1438,4629,6203
Mercer,3,4704,17404,22982
Mineral,1,2050,9070,11564
Mingo,3,1370,7911,9510
Monongalia,1,14699,18432,36048
Monroe,3,1111,4443,5805
Morgan,2,1573,5732,7654
Nicholas,3,1840,7251,9491
Ohio,1,5493,11139,17938
Pendleton,2,729,2398,3225
Pleasants,1,621,2358,3150
Pocahontas,3,928,2496,3646
Preston,1,2470,9538,12659
Putnam,2,5884,17788,24893
Raleigh,3,6443,22048,29618
Randolph,2,2735,7629,10876
Ritchie,1,496,3405,4075
Roane,2,1222,3781,5247
Summers,3,1190,3455,4862
Taylor,1,1491,4733,6538
Tucker,1,751,2565,3475
Tyler,1,507,2996,3654
Upshur,2,1766,7005,9218
Wayne,3,3357,11152,15182
Webster,3,556,2302,2978
Wetzel,1,1359,4519,6265
Wirt,2,386,1911,2422
Wood,1,8400,25434,35615
Wyoming,3,1062,6547,7831